国A,国B,接続種別
アイスランド,ノルウェー,海峡・近接海域
アゼルバイジャン,イラン,陸上隣接
アゼルバイジャン,ジョージア,陸上隣接
アゼルバイジャン,トルコ,陸上隣接
アゼルバイジャン,ロシア,陸上隣接
アフガニスタン,イラン,陸上隣接
アフガニスタン,ウズベキスタン,陸上隣接
アフガニスタン,タジキスタン,陸上隣接
アフガニスタン,トルクメニスタン,陸上隣接
アフガニスタン,パキスタン,陸上隣接
アフガニスタン,中国,陸上隣接
アラブ首長国連邦,オマーン,陸上隣接
アラブ首長国連邦,サウジアラビア,陸上隣接
アルジェリア,チュニジア,陸上隣接
アルジェリア,ニジェール,陸上隣接
アルジェリア,マリ,陸上隣接
アルジェリア,モロッコ,陸上隣接
アルジェリア,モーリタニア,陸上隣接
アルジェリア,リビア,陸上隣接
アルゼンチン,ウルグアイ,陸上隣接
アルゼンチン,チリ,陸上隣接
アルゼンチン,パラグアイ,陸上隣接
アルゼンチン,ブラジル,陸上隣接
アルゼンチン,ボリビア,陸上隣接
アルバニア,ギリシャ,陸上隣接
アルバニア,セルビア,陸上隣接
アルバニア,モンテネグロ,陸上隣接
アルバニア,北マケドニア,陸上隣接
アルメニア,アゼルバイジャン,陸上隣接
アルメニア,イラン,陸上隣接
アルメニア,ジョージア,陸上隣接
アルメニア,トルコ,陸上隣接
アンゴラ,コンゴ共和国,陸上隣接
アンゴラ,コンゴ民主共和国,陸上隣接
アンゴラ,ザンビア,陸上隣接
アンゴラ,ナミビア,陸上隣接
アンチグア・バーブーダ,セントクリストファー・ネイビス,海峡・近接海域
アンチグア・バーブーダ,ドミニカ国,海峡・近接海域
アンドラ,スペイン,陸上隣接
アンドラ,フランス,陸上隣接
イギリス,アイスランド,海峡・近接海域
イギリス,アイルランド,陸上隣接
イスラエル,シリア,陸上隣接
イスラエル,ヨルダン,陸上隣接
イスラエル,レバノン,陸上隣接
イタリア,サンマリノ,陸上隣接
イタリア,スロベニア,陸上隣接
イタリア,マルタ,海峡・近接海域
イラク,クウェート,陸上隣接
イラク,サウジアラビア,陸上隣接
イラク,シリア,陸上隣接
イラク,トルコ,陸上隣接
イラク,ヨルダン,陸上隣接
イラン,イラク,陸上隣接
イラン,トルクメニスタン,陸上隣接
イラン,トルコ,陸上隣接
イラン,パキスタン,陸上隣接
インド,スリランカ,海峡・近接海域
インド,ネパール,陸上隣接
インド,パキスタン,陸上隣接
インド,ミャンマー,陸上隣接
インド,モルディブ,海峡・近接海域
インドネシア,シンガポール,海峡・近接海域
インドネシア,パプアニューギニア,陸上隣接
インドネシア,フィリピン,海峡・近接海域
インドネシア,マレーシア,陸上隣接
インドネシア,東ティモール,陸上隣接
エクアドル,ペルー,陸上隣接
エジプト,イスラエル,陸上隣接
エジプト,スーダン,陸上隣接
エジプト,リビア,陸上隣接
エストニア,ラトビア,陸上隣接
エストニア,ロシア,陸上隣接
エスワティニ,南アフリカ,陸上隣接
エチオピア,ケニア,陸上隣接
エチオピア,スーダン,陸上隣接
エチオピア,ソマリア,陸上隣接
エチオピア,南スーダン,陸上隣接
エリトリア,エチオピア,陸上隣接
エリトリア,スーダン,陸上隣接
オマーン,イエメン,陸上隣接
オマーン,サウジアラビア,陸上隣接
オーストラリア,インドネシア,海峡・近接海域
オーストラリア,ニュージーランド,海峡・近接海域
オーストラリア,パプアニューギニア,海峡・近接海域
オーストリア,イタリア,陸上隣接
オーストリア,スイス,陸上隣接
オーストリア,スロバキア,陸上隣接
オーストリア,スロベニア,陸上隣接
オーストリア,チェコ,陸上隣接
オーストリア,ドイツ,陸上隣接
オーストリア,ハンガリー,陸上隣接
オーストリア,リヒテンシュタイン,陸上隣接
カザフスタン,ウズベキスタン,陸上隣接
カザフスタン,キルギスタン,陸上隣接
カザフスタン,トルクメニスタン,陸上隣接
カザフスタン,ロシア,陸上隣接
カタール,サウジアラビア,陸上隣接
カナダ,アメリカ合衆国,陸上隣接
カメルーン,ガボン,陸上隣接
カメルーン,コンゴ共和国,陸上隣接
カメルーン,チャド,陸上隣接
カメルーン,ナイジェリア,陸上隣接
カメルーン,赤道ギニア,陸上隣接
カンボジア,タイ,陸上隣接
カンボジア,ベトナム,陸上隣接
カンボジア,ラオス,陸上隣接
カーボベルデ,セネガル,海峡・近接海域
ガイアナ,スリナム,陸上隣接
ガイアナ,ベネズエラ,陸上隣接
ガボン,サントメ・プリンシペ,海峡・近接海域
ガボン,赤道ギニア,陸上隣接
ガンビア,セネガル,陸上隣接
ガーナ,トーゴ,陸上隣接
キプロス,トルコ,海峡・近接海域
キプロス,レバノン,海峡・近接海域
キューバ,アメリカ合衆国,海峡・近接海域
キューバ,ジャマイカ,海峡・近接海域
キューバ,ハイチ,海峡・近接海域
キューバ,メキシコ,海峡・近接海域
キリバス,ツバル,海峡・近接海域
キリバス,ナウル,海峡・近接海域
キリバス,マーシャル諸島,海峡・近接海域
キルギスタン,ウズベキスタン,陸上隣接
キルギスタン,タジキスタン,陸上隣接
ギニア,ギニアビサウ,陸上隣接
ギニア,シエラレオネ,陸上隣接
ギニア,セネガル,陸上隣接
ギニア,マリ,陸上隣接
ギニア,リベリア,陸上隣接
ギニアビサウ,セネガル,陸上隣接
ギリシャ,トルコ,陸上隣接
ギリシャ,北マケドニア,陸上隣接
クウェート,サウジアラビア,陸上隣接
クロアチア,スロベニア,陸上隣接
クロアチア,セルビア,陸上隣接
クロアチア,ハンガリー,陸上隣接
クロアチア,モンテネグロ,陸上隣接
グアテマラ,エルサルバドル,陸上隣接
グアテマラ,ホンジュラス,陸上隣接
グアテマラ,メキシコ,陸上隣接
グレナダ,セントビンセント及びグレナディーン諸島,海峡・近接海域
グレナダ,トリニダード・トバゴ,海峡・近接海域
ケニア,ウガンダ,陸上隣接
ケニア,ソマリア,陸上隣接
ケニア,タンザニア,陸上隣接
ケニア,南スーダン,陸上隣接
コスタリカ,ニカラグア,陸上隣接
コスタリカ,パナマ,陸上隣接
コモロ,セイシェル,海峡・近接海域
コモロ,マダガスカル,海峡・近接海域
コモロ,モザンビーク,海峡・近接海域
コロンビア,エクアドル,陸上隣接
コロンビア,パナマ,陸上隣接
コロンビア,ベネズエラ,陸上隣接
コロンビア,ペルー,陸上隣接
コンゴ共和国,ガボン,陸上隣接
コンゴ民主共和国,ウガンダ,陸上隣接
コンゴ民主共和国,コンゴ共和国,陸上隣接
コンゴ民主共和国,ザンビア,陸上隣接
コンゴ民主共和国,タンザニア,陸上隣接
コンゴ民主共和国,ルワンダ,陸上隣接
コンゴ民主共和国,南スーダン,陸上隣接
コートジボワール,ガーナ,陸上隣接
コートジボワール,ギニア,陸上隣接
コートジボワール,マリ,陸上隣接
コートジボワール,リベリア,陸上隣接
サウジアラビア,イエメン,陸上隣接
ザンビア,ジンバブエ,陸上隣接
シリア,トルコ,陸上隣接
ジブチ,エチオピア,陸上隣接
