国名,ISO2,ISO3,地域,193カ国内順位,WGI_政治安定性パーセンタイル_2024,治安・政治リスク分類,固定現金イベント_USD,主要産業,投資ルーレット,投資期待変化率_参考,備考
アイスランド,IS,ISL,ヨーロッパ,17,86.5,安定,5000,観光業,1-4:+40%;5-7:0%;8-10:-30%,7.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アイルランド,IE,IRL,ヨーロッパ,48,78.0,中間,2000,医薬・ライフサイエンス産業,1-4:+30%;5-8:0%;9-10:-10%,10.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アゼルバイジャン,AZ,AZE,アジア,105,63.5,中間,0,石油・ガス産業,1-4:+40%;5-6:0%;7-10:-30%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アフガニスタン,AF,AFG,アジア,189,28.2,不安定,-7000,農業・鉱業,1-3:+70%;4-5:0%;6-10:-50%,-4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アメリカ合衆国,US,USA,アメリカ,103,64.3,中間,0,テクノロジー産業,1-4:+30%;5-7:0%;8-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アラブ首長国連邦,AE,ARE,アジア,42,79.4,中間,3000,建設・不動産業,1-2:+70%;3-7:0%;8-10:-30%,5.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アルジェリア,DZ,DZA,アフリカ,148,54.0,中間,-3000,エネルギー産業,1-4:+60%;5:0%;6-10:-40%,4.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アルゼンチン,AR,ARG,アメリカ,109,63.0,中間,-1000,農業・畜産業,1-5:+20%;6-8:0%;9-10:-20%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アルバニア,AL,ALB,ヨーロッパ,91,66.2,中間,0,観光業,1-5:+30%;6-7:0%;8-10:-30%,6.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
アルメニア,AM,ARM,アジア,152,53.5,中間,-3000,ソフトウェア・ITサービス,1-6:+40%;7-10:-40%,8.0,固定現金イベントはWGI 2024順位ベースの初期案・投資ルーレットは国別個別設定（World Bank 2024/2023広域産業データ＋国別事情）
